English,Maths,Science,SST,Hindi,GK,study_hours,distraction_time,sleep_time,grade,pass_fail
51,92,14,71,60,20,2.1,0.8,4.3,D,Fail
87,99,23,2,21,52,7.8,4.2,5.3,D,Fail
63,59,20,32,75,57,4.7,2.2,5.7,D,Fail
58,41,91,59,79,14,4.2,3.9,5.2,D,Fail
54,63,2,100,50,6,2.2,0.3,9.7,D,Fail
59,13,8,89,52,1,5.8,2.2,4.7,F,Fail
7,46,34,77,80,35,2.3,3.8,6.6,D,Fail
53,3,53,92,62,17,6.4,4.7,9.4,D,Fail
13,94,47,14,71,77,2.4,0.2,6.0,D,Fail
79,81,52,23,25,88,3.0,2.7,4.8,D,Fail
14,44,64,88,70,8,6.4,1.0,4.0,D,Fail
10,80,7,34,34,32,5.2,4.6,7.9,F,Fail
27,6,72,71,11,33,1.7,1.9,8.0,F,Fail
36,98,43,85,90,34,4.3,0.6,8.3,C,Pass
0,4,89,13,26,8,6.0,0.6,6.6,F,Fail
50,62,95,51,95,3,7.4,1.2,6.5,D,Fail
42,28,35,12,31,70,3.0,0.8,9.6,F,Fail
44,61,56,5,27,27,2.5,2.1,9.3,F,Fail
91,88,61,96,0,26,4.0,4.1,9.2,C,Fail
69,71,26,8,61,36,5.8,1.3,5.5,D,Fail
58,31,95,87,51,61,7.8,4.8,5.5,C,Fail
1,2,100,55,80,58,5.3,2.5,4.3,D,Fail
100,95,96,0,18,1,4.7,2.2,7.3,D,Fail
67,54,74,55,16,37,3.6,3.2,7.8,D,Fail
10,15,96,72,58,69,5.9,4.3,6.0,D,Fail
35,18,89,66,18,19,5.5,0.9,8.1,F,Fail
38,81,0,10,91,56,1.8,4.6,9.3,D,Fail
98,6,15,89,59,1,8.0,4.8,7.3,F,Fail
31,8,98,18,47,79,7.3,4.4,8.7,D,Fail
23,74,71,35,37,83,5.1,1.9,9.6,D,Fail
24,92,17,81,65,53,4.1,5.0,5.1,D,Fail
67,32,13,20,47,19,3.6,3.7,8.3,F,Fail
32,47,75,58,85,21,2.7,4.9,6.4,D,Fail
53,7,26,26,97,20,4.5,2.9,7.0,F,Fail
68,60,47,18,3,34,6.4,0.2,10.0,F,Fail
29,92,45,5,98,36,7.5,2.1,9.8,D,Fail
98,59,96,62,84,31,7.0,1.6,5.0,C,Fail
24,94,53,57,66,45,1.7,3.1,9.9,D,Fail
65,26,1,89,16,32,2.0,3.5,7.3,F,Fail
41,25,98,49,24,23,7.4,2.6,7.0,F,Fail
44,19,64,7,15,13,7.2,1.7,6.3,F,Fail
65,31,86,62,85,50,4.3,2.7,5.7,C,Fail
57,57,85,48,51,41,6.8,1.8,4.8,D,Pass
96,7,52,59,4,67,6.9,1.0,6.5,D,Fail
98,54,39,51,15,12,7.8,3.6,4.2,F,Fail
62,18,91,57,54,89,1.2,4.8,9.0,C,Fail
8,11,0,57,0,33,2.7,0.5,5.1,F,Fail
0,15,60,63,62,68,5.3,2.1,5.5,F,Fail
15,50,100,85,56,28,1.8,0.2,4.2,D,Fail
61,68,75,15,89,89,4.4,2.4,5.0,C,Fail
93,100,22,9,68,99,1.3,1.9,7.8,C,Fail
57,95,0,68,3,15,1.5,3.2,4.2,F,Fail
31,90,83,23,11,49,5.0,0.6,8.9,D,Fail
42,100,11,66,64,32,5.6,1.0,5.6,D,Fail
11,94,45,1,34,86,1.5,1.6,9.1,D,Fail
89,33,6,67,57,74,7.1,3.7,8.8,D,Fail
35,9,100,72,23,63,5.0,3.7,4.8,D,Fail
95,23,22,61,95,36,2.7,3.4,8.4,D,Fail
98,29,16,61,83,88,3.2,4.5,6.3,C,Fail
11,60,18,75,8,70,7.7,3.4,6.9,F,Fail
15,68,98,11,24,51,5.7,3.8,8.7,F,Fail
56,38,52,41,57,38,8.0,0.3,8.4,D,Pass
92,74,17,75,8,73,6.9,4.3,9.0,D,Fail
45,12,39,41,8,49,7.2,0.7,7.1,F,Fail
37,82,7,64,85,16,7.6,4.9,8.5,D,Fail
69,30,18,60,53,38,4.0,4.5,4.7,F,Fail
66,44,12,91,57,19,1.8,0.6,7.9,D,Fail
0,2,76,91,61,62,4.3,0.4,7.2,D,Fail
5,57,43,44,31,44,1.3,4.5,7.2,F,Fail
74,100,35,98,18,19,1.5,0.8,5.3,D,Fail
14,30,0,53,2,15,6.2,4.6,9.8,F,Fail
15,71,75,23,27,7,2.2,3.2,6.3,F,Fail
59,49,27,91,100,40,2.8,2.3,4.2,C,Fail
72,32,83,76,91,28,1.9,0.4,9.6,C,Fail
68,46,24,65,9,55,7.1,2.8,5.0,F,Fail
32,64,17,95,48,10,5.2,1.9,9.8,F,Fail
26,48,76,32,97,98,1.9,0.1,4.5,C,Fail
91,80,68,94,4,2,4.9,3.8,9.7,D,Fail
73,82,16,84,77,72,1.9,4.8,7.6,C,Fail
61,64,31,33,91,94,1.8,3.4,7.1,C,Fail
2,49,11,64,53,4,1.6,4.0,7.5,F,Fail
46,22,78,100,84,13,5.9,1.1,4.8,D,Fail
97,37,49,97,81,29,4.9,0.5,8.4,C,Fail
